(primo: 19, inicio: 27681, fim: 27682)
(primo: 61, inicio: 27683, fim: 27684)
(primo: 1429, inicio: 27685, fim: 27688)
(primo: 3, inicio: 27689, fim: 27689)
(primo: 5, inicio: 27690, fim: 27690)
(primo: 163, inicio: 27691, fim: 27693)
(primo: 5, inicio: 27694, fim: 27694)
(primo: 61, inicio: 27695, fim: 27696)
(primo: 2, inicio: 27697, fim: 27697)
(primo: 2, inicio: 27698, fim: 27698)
(primo: 349, inicio: 27699, fim: 27701)
(primo: 6661, inicio: 27702, fim: 27705)
(primo: 5, inicio: 27706, fim: 27706)
(primo: 2, inicio: 27707, fim: 27707)
(primo: 2, inicio: 27708, fim: 27708)
(primo: 61, inicio: 27709, fim: 27710)
(primo: 47, inicio: 27711, fim: 27712)
(primo: 3, inicio: 27713, fim: 27713)
(primo: 5, inicio: 27714, fim: 27714)
(primo: 3, inicio: 27715, fim: 27715)
(primo: 9967, inicio: 27716, fim: 27719)
(primo: 4051, inicio: 27720, fim: 27723)
(primo: 5, inicio: 27724, fim: 27724)
